artists,name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
LBSB,Pumpa Den,6dLGScc1KoYx4e3bNyvlKH,0.761,0.838,8,-4.656,1,0.227,0.05,0,0.113,0.805,109.961
Stefflon Don,16 Shots,70t0381RsfUbBCXP9lXovo,0.684,0.79,3,-4.871,0,0.0735,0.0271,0.000371,0.0854,0.549,95.083
Bruno Mars,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115
MC Fioti,Bum Bum Tam Tam,4zWO4gvuFtw6EJZC5FFGlr,0.896,0.673,1,-3.872,1,0.139,0.346,1.28e-05,0.206,0.714,131.99
Nicki Minaj,Roman's Revenge,0eUzRaG60gimqQJ02oSUnH,0.809,0.947,10,-2.868,1,0.311,0.518,0,0.345,0.443,112.377
Rihanna,Woo,1bMLlAmVfFZOl0z4gTAsHx,0.42,0.466,9,-5.298,1,0.0326,0.0546,0.00389,0.298,0.185,115.004
Cardi B,Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,0.908,0.524,1,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015
Gregor Salto,Para Voce - Original Mix,5IbSPY3HfXuTEnK31HQbfp,0.948,0.551,7,-8.576,1,0.137,0.0167,0,0.0805,0.662,127.045
Sasha Lopez,Koukou Move,2k8lV9Jv1BqRRgq2vN5xAJ,0.822,0.64,9,-4.747,0,0.0485,0.0624,0.00942,0.0988,0.725,125.981
Tujamo,Drop That Low (When I Dip),48kF7W23OIcVBsNY5UesuQ,0.579,0.896,5,-4.132,0,0.373,0.00945,0.836,0.121,0.103,125.672
Maskinen,Krossa alla fönster,4gBWeVgSetIJQcGohFNLeE,0.806,0.715,1,-5.329,0,0.158,0.0179,0,0.127,0.629,136.015
New World Sound,Aye,5QKPi7unCLHGLv6gJ0c6Vi,0.771,0.84,4,-5.164,0,0.0492,0.000398,0.867,0.117,0.168,129.001
New World Sound,Aye,5QKPi7unCLHGLv6gJ0c6Vi,0.771,0.84,4,-5.164,0,0.0492,0.000398,0.867,0.117,0.168,129.001
Alesso,Forever Album Mix,1qH6McBuvTkitpRq1OW7Nu,0.492,0.747,7,-7.162,1,0.0654,0.108,8.61e-05,0.413,0.339,126.133
Audioslave,Cochise,1TDk2Jmi4dVZhm2dum3Jim,0.452,0.873,9,-4.867,1,0.0613,0.000519,0,0.0592,0.433,80.473
Steve Aoki,It's Time (feat. Bruce Buffer),0V92xYv3kttm7TG2dSr0Bk,0.546,0.975,5,-2.78,0,0.122,0.00883,0.0133,0.0895,0.0995,150.013
Armin van Buuren,Blah Blah Blah,0tp6mwUt99QnfY95T30Lqj,0.378,0.963,5,-3.911,0,0.0682,0.00882,0.00357,0.294,0.16,103.406
Tiësto,BOOM,6iC7vapdKp0XlKhxOkp8QJ,0.886,0.84,2,-3.386,1,0.0502,0.0164,0.00622,0.329,0.203,123.035
Adam Lambert,Ghost Town,7Df0z75yVuHOFEuAbk40lA,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955
Bingo Players,Rattle - Original Mix,48g4Cw3ZfXMQw4gGpUxbt4,0.746,0.955,7,-4.803,1,0.0523,0.00152,0.825,0.353,0.52,127.997
Blasterjaxx,Rio,7zdzNoCnganfNSGap8NIwE,0.648,0.969,4,-4.417,0,0.0496,0.000806,0.869,0.0736,0.321,129.995
Tujamo,Booty Bounce - Vocal Radio Edit,1GW4UWunUNxsQrxW1Qgi7n,0.74,0.984,7,-1.821,0,0.0543,0.0235,6.62e-06,0.125,0.695,128.006
Natalia Kills,Problem,089XJfZCapAEf3dkVoGQtq,0.549,0.955,8,-3.145,1,0.27,0.148,3.21e-05,0.441,0.669,169.886
Timmy Trumpet,Punjabi,2Byxr0ooaeLayBBaVLup67,0.358,0.923,6,-3.722,0,0.143,0.000291,0.196,0.074,0.191,149.938
OVÖ,Zara Larsson,7jzZAlNCTj4gnuKaNjpLXt,0.783,0.669,8,-8.28,0,0.137,0.107,0,0.0565,0.437,131.971
Amy Diamond,Champion,4iY1AAufvbMTy0nkF6mn0Q,0.732,0.889,4,-4.545,0,0.0352,0.0395,0.000134,0.468,0.695,99.993
Joker Inc,Smile - Original Mix,4oDoe08YuxP2wbfjYCCoCd,0.794,0.855,5,-4.929,0,0.0733,0.00148,0.56,0.0932,0.195,128.014
Will Sparks,Rainbow Stylin',7ynbxHRwbnyHv2fgtc2Xo3,0.806,0.675,2,-6.347,1,0.0446,0.0298,0.0202,0.12,0.0371,124.987
Will Sparks,Flakka Flakka,36bgQ1GUXJ4KUqWCZJQTxk,0.752,0.958,6,-6.234,0,0.157,0.0101,0.468,0.0774,0.0356,133.029
Moby,Flower,60rIdEPDrzyLiLC0icp3xz,0.686,0.61,7,-5.902,1,0.0262,0.19,0.000931,0.071,0.766,80.567
Prince Royce,90 Minutos (Futbol Mode) (feat. ChocQuibTown),0CuQ686S9l2fLgKdbD6oWR,0.752,0.873,7,-5.213,1,0.126,0.0315,0,0.273,0.666,130.024
Snoop Dogg,I Wanna Fuck You,1G93i9ga7ZPEOqpiNhM1mq,0.861,0.479,7,-8.433,1,0.0515,0.0452,0,0.351,0.278,99.969
Sandance,Forca!,73U1S2OZWSP9k8fSeKp03u,0.645,0.982,6,-6.519,0,0.075,0.00369,0.295,0.313,0.251,128.032
Albin Johnsén,Hjärtan Av Guld,379tO39X306JGVLOJqR2Dx,0.765,0.889,1,-2.912,1,0.0546,0.423,0,0.081,0.547,136.82
Mark Ronson,Nothing Breaks Like a Heart - Don Diablo Remix,5xBafmhrJzzMsd1dxErIbJ,0.712,0.871,7,-3.571,0,0.225,0.179,1.94e-06,0.203,0.379,123.974
TJR,What's Up Suckaz,4pWfWlnxmtUHVnzuqTTyP7,0.763,0.941,2,-2.702,1,0.0455,0.000895,0.665,0.25,0.189,128.004
